FIPS,County Name,Subject,Number,Percent
36001,Albany County,Under 5 years,"15,286",5
36003,Allegany County,Under 5 years,"2,667",5.4
36005,Bronx County,Under 5 years,"103,144",7.4
36007,Broome County,Under 5 years,"10,480",5.2
36009,Cattaraugus County,Under 5 years,"5,042",6.3
36011,Cayuga County,Under 5 years,"4,262",5.3
36013,Chautauqua County,Under 5 years,"7,568",5.6
13605,Chemung County,Under 5 years,"5,275",5.9
36017,Chenango County,Under 5 years,"2,735",5.4
36019,Clinton County,Under 5 years,"4,069",5
36021,Columbia County,Under 5 years,"3,029",4.8
36023,Cortland County,Under 5 years,"2,711",5.5
36025,Delaware County,Under 5 years,"2,417",5
36027,Dutchess County,Under 5 years,"15,239",5.1
36029,Erie County,Under 5 years,"49,038",5.3
36031,Essex County,Under 5 years,"1,852",4.7
36033,Franklin County,Under 5 years,"2,818",5.5
36035,Fulton County,Under 5 years,"3,055",5.5
36037,Genesee County,Under 5 years,"3,394",5.6
36039,Greene County,Under 5 years,"2,306",4.7
36041,Hamilton County,Under 5 years,168,3.5
36043,Herkimer County,Under 5 years,"3,592",5.6
36045,Jefferson County,Under 5 years,"9,635",8.3
36047,Kings County,Under 5 years,"177,198",7.1
36049,Lewis County,Under 5 years,"1,776",6.6
36051,Livingston County,Under 5 years,"3,198",4.9
36053,Madison County,Under 5 years,"3,903",5.3
36055,Monroe County,Under 5 years,"43,282",5.8
36057,Montgomery County,Under 5 years,"3,062",6.1
36059,Nassau County,Under 5 years,"73,888",5.5
36061,New York County,Under 5 years,"76,579",4.8
36063,Niagara County,Under 5 years,"11,580",5.3
36065,Oneida County,Under 5 years,"13,281",5.7
36067,Onondaga County,Under 5 years,"27,378",5.9
36069,Ontario County,Under 5 years,"5,808",5.4
36071,Orange County,Under 5 years,"26,488",7.1
36073,Orleans County,Under 5 years,"2,286",5.3
36075,Oswego County,Under 5 years,"7,046",5.8
36077,Otsego County,Under 5 years,"2,741",4.4
36079,Putnam County,Under 5 years,"5,108",5.1
36081,Queens County,Under 5 years,"132,464",5.9
36083,Rensselaer County,Under 5 years,"8,822",5.5
36085,Richmond County,Under 5 years,"28,339",6
36087,Rockland County,Under 5 years,"23,801",7.6
36089,Saratoga County,Under 5 years,"12,140",5.5
36091,Schenectady County,Under 5 years,"9,276",6
36093,Schoharie County,Under 5 years,"1,501",4.6
36095,Schuyler County,Under 5 years,881,4.8
36097,Seneca County,Under 5 years,"1,980",5.6
36099,St. Lawrence County,Under 5 years,"6,574",5.9
36101,Steuben County,Under 5 years,"5,793",5.9
36103,Suffolk County,Under 5 years,"85,984",5.8
36105,Sullivan County,Under 5 years,"4,626",6
36107,Tioga County,Under 5 years,"2,973",5.8
36109,Tompkins County,Under 5 years,"4,322",4.3
36111,Ulster County,Under 5 years,"8,996",4.9
36113,Warren County,Under 5 years,"3,241",4.9
36115,Washington County,Under 5 years,"3,349",5.3
36117,Wayne County,Under 5 years,"5,500",5.9
36119,Westchester County,Under 5 years,"57,199",6
36121,Wyoming County,Under 5 years,"2,096",5
36123,Yates County,Under 5 years,"1,581",6.2
